,dataset,fold,ta_name,metric_error,metric_error_val,time_train_s,time_infer_s,method_subtype,n_samples_train_per_fold,n_features
158,hiva_agnostic,0,PrepTabM,0.1735829859972,0.1728333085775375,8635.946468114853,40.5115807056427,tuned_ensemble,2564,1617
159,churn,2,PrepTabM,0.0995197525908084,0.127356269765128,743.250156879425,10.589010953903198,default,3334,19
160,churn,2,PrepTabM,0.0670829802102382,0.0682366988830851,39491.464163303375,5.495334148406982,tuned,3334,19
161,churn,2,PrepTabM,0.0654801730674874,0.0653396640964597,39491.464163303375,28.536656379699707,tuned_ensemble,3334,19
162,churn,1,PrepTabM,0.1334523682620899,0.1231637638519823,752.7044587135315,10.822542190551758,default,3334,19
163,churn,1,PrepTabM,0.0904872733302538,0.0695585021387208,39770.20708203316,5.682013511657715,tuned,3334,19
164,churn,1,PrepTabM,0.0873515024458421,0.0681764567114885,39770.20708203316,40.83092904090881,tuned_ensemble,3334,19
165,churn,0,PrepTabM,0.119230359236755,0.1366770969182538,666.7201526165009,10.482303857803345,default,3334,19
166,churn,0,PrepTabM,0.0670000829099006,0.0749138354394133,37688.58646202088,5.479138135910034,tuned,3334,19
167,churn,0,PrepTabM,0.0697361096305771,0.0695933685558329,37688.58646202088,52.80117011070252,tuned_ensemble,3334,19
168,online_shoppers_intention,2,PrepTabM,0.0617439342754623,0.0700590731507733,1179.0813879966736,17.81779670715332,default,8220,17
169,online_shoppers_intention,2,PrepTabM,0.0602974296028357,0.0693616755013886,68003.07684874535,14.582865238189695,tuned,8220,17
170,online_shoppers_intention,2,PrepTabM,0.0607233247520665,0.0685230105582168,68003.07684874535,159.03981161117554,tuned_ensemble,8220,17
171,online_shoppers_intention,1,PrepTabM,0.0654575046255562,0.0691184604048764,1328.0555107593536,17.155388116836548,default,8220,17
172,online_shoppers_intention,1,PrepTabM,0.0648754630082227,0.0673291124001115,72519.9995894432,9.459082841873167,tuned,8220,17
173,online_shoppers_intention,1,PrepTabM,0.0648125518225234,0.0660385844711658,72519.9995894432,57.23087644577026,tuned_ensemble,8220,17
174,online_shoppers_intention,0,PrepTabM,0.0728764985534953,0.0648239799335947,1316.7444140911102,17.15834665298462,default,8220,17
175,online_shoppers_intention,0,PrepTabM,0.0725775572718089,0.0638760124627511,70610.68383407593,14.187585592269896,tuned,8220,17
176,online_shoppers_intention,0,PrepTabM,0.0723560103264864,0.0632036774529931,70610.68383407593,126.03159475326538,tuned_ensemble,8220,17
177,Bank_Customer_Churn,2,PrepTabM,0.146371442555378,0.1392952362828453,348.89610958099365,7.8609209060668945,default,6667,10
178,Bank_Customer_Churn,2,PrepTabM,0.1412717403247162,0.1300795658912492,25896.100764989853,7.144240379333496,tuned,6667,10
179,Bank_Customer_Churn,2,PrepTabM,0.1413666314108362,0.1277417179430489,25896.100764989853,44.00837254524231,tuned_ensemble,6667,10
180,Bank_Customer_Churn,1,PrepTabM,0.1357896991564127,0.1467229488591773,348.6606161594391,7.850872993469238,default,6667,10
181,Bank_Customer_Churn,1,PrepTabM,0.126623553188396,0.1379358030143604,26772.15617465973,7.161229848861694,tuned,6667,10
182,Bank_Customer_Churn,1,PrepTabM,0.1269215444939309,0.1356570427686777,26772.15617465973,66.44385504722595,tuned_ensemble,6667,10
183,Bank_Customer_Churn,0,PrepTabM,0.1336256653048545,0.1444012039514646,341.9093019962311,7.87309455871582,default,6667,10
184,Bank_Customer_Churn,0,PrepTabM,0.1278733265104049,0.1343910961085775,26218.381002426147,7.242429971694946,tuned,6667,10
185,Bank_Customer_Churn,0,PrepTabM,0.1273408052719602,0.1332539984662049,26218.381002426147,48.20673394203186,tuned_ensemble,6667,10
186,Marketing_Campaign,2,PrepTabM,0.1153153153153152,0.1141804235921716,247.35875296592712,6.897211313247681,default,1494,25
187,Marketing_Campaign,2,PrepTabM,0.0971696105554373,0.1093574142742729,13206.733589410782,6.158674716949463,tuned,1494,25
188,Marketing_Campaign,2,PrepTabM,0.1049868766404199,0.0988328811394579,13206.733589410782,37.57563328742981,tuned_ensemble,1494,25
189,Marketing_Campaign,1,PrepTabM,0.1311164229471316,0.1365279520275587,262.58755326271057,7.034825325012207,default,1494,25
190,Marketing_Campaign,1,PrepTabM,0.1209505061867266,0.1059426854076736,13339.82043981552,4.974589109420776,tuned,1494,25
191,Marketing_Campaign,1,PrepTabM,0.1227643419572553,0.101813851617156,13339.82043981552,50.78686785697937,tuned_ensemble,1494,25
192,Marketing_Campaign,0,PrepTabM,0.0861309422630176,0.1396525546414322,272.2026903629303,6.918100833892822,default,1494,25
193,Marketing_Campaign,0,PrepTabM,0.1014009292311178,0.1171092122453303,13548.393051624298,3.6364898681640634,tuned,1494,25
194,Marketing_Campaign,0,PrepTabM,0.0837087087087087,0.1077151230535644,13548.393051624298,42.674800157547,tuned_ensemble,1494,25
195,healthcare_insurance_expenses,2,PrepTabM,4423.063904693919,4819.198586933314,14.793107509613035,0.7726163864135742,default,892,6
196,healthcare_insurance_expenses,2,PrepTabM,4387.042467544337,4621.78256076093,1036.9229278564453,0.3817310333251953,tuned,892,6
197,healthcare_insurance_expenses,2,PrepTabM,4359.596806444393,4568.571564417619,1036.9229278564453,2.6195967197418213,tuned_ensemble,892,6
198,healthcare_insurance_expenses,1,PrepTabM,5188.870551528216,4281.833742689075,15.242580652236938,0.7672626972198486,default,892,6
199,healthcare_insurance_expenses,1,PrepTabM,5150.072077467899,4183.611046465334,1076.3477900028229,0.2840516567230224,tuned,892,6
200,healthcare_insurance_expenses,1,PrepTabM,5382.834485332886,4146.872259173157,1076.3477900028229,3.884466648101807,tuned_ensemble,892,6
201,healthcare_insurance_expenses,0,PrepTabM,4158.711216058319,4813.938741402373,15.0461905002594,0.7756714820861816,default,892,6
202,healthcare_insurance_expenses,0,PrepTabM,4162.95693591553,4738.809459480392,1162.8554344177246,0.4317669868469238,tuned,892,6
203,healthcare_insurance_expenses,0,PrepTabM,4120.685967418218,4708.056517864455,1162.8554344177246,5.017451524734497,tuned_ensemble,892,6
204,MIC,2,PrepTabM,0.4503469999733927,0.4368376299288388,204.2301323413849,8.91501760482788,default,1133,111
205,MIC,2,PrepTabM,0.4512087404727936,0.4232489764690399,16219.110886573792,13.263938665390016,tuned,1133,111
206,MIC,2,PrepTabM,0.4411596357822418,0.414824903011322,16219.110886573792,108.69550275802612,tuned_ensemble,1133,111
207,MIC,1,PrepTabM,0.415713708820691,0.4644441058042233,203.4464466571808,9.278842449188232,default,1133,111
208,MIC,1,PrepTabM,0.4136945605278015,0.4554847478866577,15962.507001161575,13.27791452407837,tuned,1133,111
209,MIC,1,PrepTabM,0.4128840565681457,0.4455791115760803,15962.507001161575,81.66231894493103,tuned_ensemble,1133,111
210,MIC,0,PrepTabM,0.4661166584027617,0.4469130984829895,203.01259803771973,9.27502727508545,default,1133,111
211,MIC,0,PrepTabM,0.4721524715423584,0.4266336560249328,15871.470372200012,10.61736249923706,tuned,1133,111
